,i,t,m,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
5442,23998,2019,fatick,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1.098612289
5443,23999,2019,fatick,1,3,3,1,0,1,2,1,1,0,0,1,0,0,1,1,0,0,2.079441542
5444,2401,2019,dakar,4,3,4,2,1,0,0,2,1,1,2,0,1,1,1,2,0,1,2.564949357
5445,24010,2019,dakar,3,2,2,1,0,0,0,2,2,0,0,0,0,0,1,2,0,1,2.079441542
5446,24011,2019,fatick,5,2,2,3,0,0,0,2,1,0,1,0,1,2,0,2,2,1,2.48490665
5447,240110,2019,fatick,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
5448,240111,2019,fatick,1,2,0,3,0,0,0,0,0,1,0,1,2,0,1,1,0,0,1.791759469
5449,240112,2019,fatick,3,4,3,3,0,1,1,0,2,1,0,3,2,0,0,1,1,1,2.564949357
5450,24012,2019,fatick,14,10,9,12,4,5,4,2,1,2,0,3,4,8,8,2,0,2,3.80666249
5451,24013,2019,fatick,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1.386294361
5452,24014,2019,fatick,4,2,4,2,1,0,1,1,2,0,0,1,1,3,1,0,0,1,2.48490665
5453,24015,2019,fatick,1,1,2,2,0,0,1,0,0,1,2,0,0,0,0,1,1,0,1.791759469
5454,24016,2019,fatick,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.6931471806
5455,24017,2019,fatick,2,2,1,2,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1.945910149
5456,24018,2019,fatick,1,2,2,2,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1.945910149
5457,24019,2019,fatick,2,1,2,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1.609437912
5458,2402,2019,dakar,7,5,2,5,0,0,1,3,1,1,0,1,3,3,2,3,0,1,2.944438979
5459,2403,2019,dakar,3,2,2,0,0,0,2,1,0,0,0,1,0,0,0,2,0,1,1.945910149
5460,24031,2019,fatick,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1.098612289
5461,240310,2019,fatick,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
5462,240311,2019,fatick,3,1,4,1,1,0,0,0,3,1,0,0,1,2,0,0,0,1,2.197224577
5463,240312,2019,fatick,1,0,4,1,0,0,1,0,2,0,1,0,0,0,1,1,0,0,1.791759469
5464,24032,2019,fatick,3,2,2,1,0,0,2,0,0,1,1,3,0,0,0,0,0,1,2.079441542
5465,24033,2019,fatick,2,2,6,2,0,0,6,1,0,0,0,1,0,0,2,1,0,1,2.48490665
5466,24034,2019,fatick,2,1,2,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1.791759469
